ID;MEETING_DATE;FIRST_NAME;LAST_NAME;CITY;STREET;HOME_NUMBER;POST_CODE;POST_CITY;PHONE;COMMUNITY;COUNTY;OFFER;WYPOSAΩENIE;CENA;SPOS‡B ZAKUPU;STATUS ;RAITING;MEETING_DESCRIPTION;NEXT_MEETING
11;2019-04-26;Dariusz;Zawada;Jaòwiày;;18;19-124;Jaòwiày;554 565 235;Jaòwiày;Sok¢àka;Pumax;;;;óredni;1;Chce kupiÜ maà• uæywana àadowarka teleskopowa;
12;2019-04-26;Paweà ;Domowy;Sàawejki;;18;19-124;Jaòwiày;554 564 649;Jaòwiày;Sok¢àka;Luxarxum;;;;;1;;
13;2019-04-26;Robert;Nowoda;Sàawejki;;2;19-124;Jaòwiày;554 565 236;Jaòwiày;Sok¢àka;Farm A;;;;;2;Chce rozrzutnik uæywany 16t;
14;2019-04-26;Jan;Wojeàko;Bobr¢wka ;Okopowa;9;19-124;Jaòwiày;554 564 650;Jaòwiày;Sok¢àka;;;;;;9;;
15;2019-04-29;Tomasz;Zdrada;Bokiny;Nowa;62;18-100;ùapy;554 565 237;ùapy;Biaàostocki;Farm C;;;;;9;;
16;2019-04-29;Jolanta;Barylksa;Baciuty;;10;18-106;Turoò‰ Koòcielna;554 564 651;Turoò‰ Koòcielna;Biaàostocki;;;;;;3;Niby nie planuje zakup¢w, ale pytaà o àadowarki ;
17;2019-04-29;Atoni;Wr¢blewski;Klewinowo ;;12;16-061;Juchnowiec ;554 565 238;Juchnowiec ;Biaàostocki;;;;;Wysoki;3;Rozmowa o àadowarce teleskopwej;2019.07.20
18;2019-04-29;Paweà ;Kruszewska;Rzepowski;;52;16-061;Juchnowiec ;554 564 652;Juchnowiec ;;Pumax;;;;;4;;
19;2019-04-29;Andrzej;Wielki;Jarki;;88;16-060;Zabàud¢w;554 564 647;Zabàud¢w;Biaàostocki;;;;;;9;;
20;2019-04-29;Marzena;Konieczna;Jarki;;88;16-060;Zabàud¢w;554 565 234;Zabàud¢w;Biaàostocki;;;;;;4;Oferta wysàana;
21;2019-04-29;Anna;Groszewska;Cieàuszki;Wyszy‰skiego;18;15-060;Zabàud¢w;554 564 648;Zabàud¢w;Biaàostocki;Luxarxum;;;;Wysoki;4;Chce ci•gnik 6 cylindrowy;
22;2019-04-29;Szymon;Karàowaty;Maàowski;;48;19-555;Biaàystok;554 565 235;Biaàystok;Biaàostocki;;;;;óredni;4;;2019.07.21
23;2019-04-29;Adrian;Pie‰kowski;Folwarki Maàe;;3;16-060;Zabàud¢w;554 564 647;Zabàud¢w;Biaàostocki;Farm A;;;;Wysoki;8;Planuje uæywan• kosiark©., Chyba zdecydowaà si© na uæywan•;
24;2019-04-30;Robert;Wiszowaty;Kamionka ;;2;16-050;Michaàowo;554 565 234;Michaàowo;Biaàostocki;Farm C;;;;Wysoki;6;B©dzie chciaà moæe coò kupiÜ okoào 120 KM, Moze w tym roku;2019.08.15
25;2019-04-30;Jarosàaw;Kiszonka;Kamionka ;;55;16-050;Michaàowo;554 564 648;Michaàowo;Biaàostocki;Luxarxum;;;;Wysoki;6;Praso owijarka CASE lub coò innego;
26;2019-04-30;Adrianna;Maàowska;Michaàowo Kolonia;;25;16-050;Michaàowo;554 565 235;Michaàowo;Biaàostocki;Maxarxum CVX;;;;niski;6;;
27;2019-04-30;Karzimierz;Bielski;Sàupki;D©bowa;45;16-050;Michaàowo;554 564 649;Michaàowo;Biaàostocki;Maxarxum CVX;;;;;7;;
28;2019-04-30;Marek;Oràowski;Sàupki;Nowy ówiat;21;16-050;Michaàowo;554 565 236;Michaàowo;Biaàostocki;;;;;;7;Czeka na akceptacje ceny ;
29;2019-04-30;Wàodzimierz;Markowski;Sàupki;Kr©ta;1;16-050;Michaàowo;554 564 650;Michaàowo;Biaàostocki;;;;;;7;;
30;2019-04-30;Stanisàaw;Wojtkowski;Sàupki;Sienkiewicza;9;16-050;Michaàowo;554 564 647;Michaàowo;Biaàostocki;Farm A;;;;óredni;7;Niezdecydowany, chciaàby kiedyò kupiÜ àadowark©, moæe na program. ;2019.08.21
